,Unnamed: 0,#,Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments,Senator Name,Type,Comment
21,,22,Self,PMDPX,Principal Small-MidCap Dividend Inc P,Purchase,04/11/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
22,,23,Self,EPSPX,MainStay Epoch Global Equity Yield A,Purchase,04/06/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
23,,24,Self,RRGAX,Deutsche Global Real Estate Secs A,Purchase,12/20/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
24,,25,Self,SVAIX,Federated Strategic Value Dividend Instl,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
25,,26,Self,EPSPX,MainStay Epoch Global Equity Yield A,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
26,,27,Self,JDEZX,Prudential Jennison Equity Income Z,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
27,,28,Self,GSFTX,Columbia Dividend Income Z,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
28,,29,Self,GSFTX,Columbia Dividend Income Z,Purchase,05/09/2016,"$15,001 - $50,000",,"Grassley, Charles E.",,
29,,30,Self,CAIFX,American Funds Capital Income Bldr F2,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
30,,31,Self,ARIDX,AMG River Road Dividend All Cap Value I,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
31,,32,Self,PPSPX,Principal Preferred Securities P,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
32,,33,Self,MMUFX,MFS Utilities A,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
33,,34,Self,IGFFX,American Funds Intl Gr and Inc F2,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
34,,35,Self,FRIAX,Franklin Income Adv,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
35,,36,Self,PMDPX,Principal Small-MidCap Dividend Inc P,Sale (Partial),11/01/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
36,,37,Self,GNEIX,Geneva Advisors Equity Income I,Sale (Full),05/09/2016,"$15,001 - $50,000",,"Grassley, Charles E.",,
37,,38,Self,FRIAX,Franklin Income Adv,Purchase,04/06/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
38,,39,Spouse,--,BLACK ROCK EQUITY DIV I,Purchase,12/06/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
39,,40,Spouse,--,OPPHMR MS CAP Y,Purchase,12/07/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
40,,41,Spouse,--,SPTN 500 INDEX ADV,Purchase,12/16/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
41,,1,Spouse,WCN,Waste Connections Inc. (NYSE),,01/13/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
42,,2,Spouse,AXP,American Express Company (NYSE),,01/13/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
43,,3,Spouse,AAPL,Apple Inc. (NASDAQ),,01/13/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
44,,4,Spouse,ADP,"Automatic Data Processing, Inc. (NASDAQ)",,01/13/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
45,,5,Spouse,CVS,CVS Health Corporation (NYSE),,01/13/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
46,,6,Spouse,MTD,Mettler-Toledo International Inc. (NYSE),,01/13/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
47,,7,Spouse,UL,Unilever plc (NYSE),,01/13/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
48,,8,Spouse,--,Billings MT Rate/Coupon: 3.000 Matures: 07/01/2021,,02/12/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
49,,9,Spouse,HAL,Halliburton Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
50,,10,Spouse,AXP,American Express Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
51,,11,Spouse,AXP,American Express Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
52,,12,Spouse,AXP,American Express Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
53,,13,Spouse,AXP,American Express Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
54,,14,Spouse,AXP,American Express Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
55,,15,Spouse,HAL,Halliburton Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
56,,16,Spouse,HAL,Halliburton Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
57,,17,Spouse,HAL,Halliburton Company (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
58,,18,Spouse,AYI,"Acuity Brands, Inc. (NYSE)",,02/20/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
59,,19,Spouse,MMM,3M Company (NYSE),,02/20/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
60,,20,Spouse,KMB,Kimberly-Clark Corporation (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
61,,21,Spouse,KMB,Kimberly-Clark Corporation (NYSE),,02/20/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
62,,22,Spouse,--,Rochester NH  Rate/Coupon: 3.000 Matures: 03/01/2021,,02/26/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
63,,23,Spouse,HSY,The Hershey Company (NYSE),,03/20/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
64,,24,Spouse,--,New Hampshire MUND BD Bk  Rate/Coupon: 3.000 Matures: 08/15/2020,,05/21/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
65,,25,Spouse,--,Portland ME WTR DIST REV  Rate/Coupon: 3.0% Matures: 11/01/2020,,06/09/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
66,,26,Spouse,--,Winslow Maine Rate/Coupon: 3.0% Matures: 10/01/2020,,08/20/2015,"$50,001 - $100,000",,"Collins, Susan M.",Purchase,--
67,,27,Spouse,--,Federal Farm Credit Bank  Rate/Coupon: 2.0% Matures: 08/26/2019,,08/26/2015,"$50,001 - $100,000",,"Collins, Susan M.",Purchase,--
68,,28,Spouse,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),,12/11/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
69,,29,Spouse,--,Fed Farm Credit Bank Rate/Coupon: 1.7% Matures: 07/08/2020,,12/15/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
70,,30,Spouse,--,VISA INC - A,,12/22/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
71,,31,Spouse,--,Hershey Co,,12/22/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
72,,32,Spouse,--,Dunkin Brands Group Inc,,12/22/2015,"$15,001 - $50,000",,"Collins, Susan M.",Purchase,--
73,,33,Spouse,--,Home Depot Inc,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
74,,34,Spouse,--,Qualcomm Inc,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
75,,35,Spouse,--,Accenture PLC,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
76,,36,Spouse,--,AON PLC,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
77,,37,Spouse,--,DANAHER Corp,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
78,,38,Spouse,--,Nestle SA,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
79,,39,Spouse,--,Phillips 66,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
80,,40,Spouse,--,TJX Cos Inc,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
81,,41,Spouse,--,US Bancorp,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
82,,42,Spouse,--,ConocoPhillips,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
83,,43,Spouse,--,Canadian Pacific Railway LTD,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
84,,44,Spouse,--,Borgwarner Inc,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Sale (Full),--
85,,45,Spouse,--,Wells Fargo CO,,12/22/2015,"$1,001 - $15,000",,"Collins, Susan M.",Purchase,--
86,,1,Spouse,--,"St. Petersburg, Florida, Condo, Rental Real Estate",Sale (Full),06/29/2015,"$50,001 - $100,000",,"Collins, Susan M.",,
87,,1,Joint,--,VBIAX - Vanguard Balanced Index Adm,Sale (Partial),02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
88,,2,Joint,VMMXX,Vanguard Money Market Reserves,Purchase,02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
89,,3,Self,JNMXX,Janus Money Market Fund D Share,Purchase,02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
90,,4,Self,JNMXX,Janus Money Market Fund D Share,Sale (Partial),04/15/2015,"$1,001 - $15,000",,"Paul, Rand",,
91,,5,Self,JNMXX,Janus Money Market Fund D Share,Sale (Partial),05/28/2015,"$1,001 - $15,000",,"Paul, Rand",,
92,,6,Self,JACNX,Janus Contrarian D,Sale (Partial),02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
93,,7,Self,JGVXX,Janus Government Money Market F,Purchase,02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
94,,8,Self,--,JANBX - Janus Balanced D,Sale (Full),02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
95,,9,Self,--,VBIAX - Vanguard Balanced Index Adm,Sale (Partial),02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
96,,10,Self,--,VAIPX - Vanguard Inflation-Protected Secs Adm,Sale (Partial),02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
97,,11,Self,VMMXX,Vanguard Money Market Reserves,Purchase,02/23/2015,"$15,001 - $50,000",,"Paul, Rand",,
98,,12,Self,VFIAX,Vanguard 500 Index Admiral,Sale (Partial),02/23/2015,"$1,001 - $15,000",,"Paul, Rand",,
99,,13,Child,--,UPROMISE - INCOME PORTFOLIO,Sale (Partial),02/05/2015,"$1,001 - $15,000",,"Paul, Rand",,
100,,14,Child,--,UPROMISE - INCOME PORTFOLIO,Sale (Partial),09/07/2015,"$1,001 - $15,000",,"Paul, Rand",,
101,,15,Joint,--,UPROMISE - INCOME PORTFOLIO,Purchase,08/01/2015,"$1,001 - $15,000",,"Paul, Rand",,
102,,16,Child,--,UPROMISE - INCOME PORTFOLIO,Purchase,08/01/2015,"$1,001 - $15,000",,"Paul, Rand",,
103,,17,Child,--,UPROMISE - GROWTH PORTFOLIO,Purchase,08/01/2015,"$1,001 - $15,000",,"Paul, Rand",,
104,,18,Child,--,UPROMISE - MODERATE GROWTH PORTFOLIO,Purchase,08/01/2015,"$1,001 - $15,000",,"Paul, Rand",,
105,,1,Self,SCHZ,Schwab Strategic Trust - Schwab U.S. Aggregate Bon,Purchase,04/08/2015,"$1,001 - $15,000",,"Murkowski, Lisa",,
106,,2,Self,SCHH,Schwab Strategic Trust - Schwab U.S. REIT ETF,Purchase,04/08/2015,"$1,001 - $15,000",,"Murkowski, Lisa",,
107,,3,Self,SCHF,Schwab Strategic Trust - Schwab International Equi,Purchase,04/08/2015,"$1,001 - $15,000",,"Murkowski, Lisa",,
108,,4,Self,SCHF,Schwab Strategic Trust - Schwab International Equi,Purchase,10/06/2015,"$1,001 - $15,000",,"Murkowski, Lisa",,
109,,5,Self,BND,Vanguard Bond Index Funds - Vanguard Total Bond Ma,Sale (Partial),10/06/2015,"$1,001 - $15,000",,"Murkowski, Lisa",,
110,,6,Self,VNQ,Vanguard Specialized Funds - Vanguard REIT ETF,Sale (Full),04/08/2015,"$1,001 - $15,000",,"Murkowski, Lisa",,
111,,1,Spouse,--,"Rental Property, Tupelo, MS",Sale (Full),01/20/2015,"$100,001 - $250,000",,"Wicker, Roger",,
112,,2,Self,--,"Timber rights from Alexander Seawright Timber Fund I, LLC",Purchase,04/15/2015,"$15,001 - $50,000",,"Wicker, Roger",,
113,,3,Self,--,"Timber Rights from Alexander Seawright Timber Fund I, LLC",Purchase,06/12/2015,"$15,001 - $50,000",,"Wicker, Roger",,
114,,4,Self,--,"Timber Rights from Alexander Seawright Timber Fund I, LLC",Purchase,07/10/2015,"$1,001 - $15,000",,"Wicker, Roger",,
115,,5,Self,--,"Timber Rights from Alexander Seawright Timber Fund I, LLC",Purchase,07/10/2015,"$1,001 - $15,000",,"Wicker, Roger",,
116,,6,Self,--,"Timber Rights from Alexander Seawright Timber Fund I, LLC",Purchase,07/13/2015,"$1,001 - $15,000",,"Wicker, Roger",,
117,,7,Self,--,"Timber rights from Alexander Seawright Timber Fund I, LLC",Purchase,11/13/2015,"$15,001 - $50,000",,"Wicker, Roger",,
118,,1,Self,BAFQX,Brown Advisory Somerset Emgerg Mkts Inst,Purchase,09/17/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
119,,2,Self,IXC,iShares Global Energy,Purchase,09/17/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
120,,3,Self,JOAIX,JOHCM Asia Ex-Japan Equity I,Purchase,09/17/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
121,,4,Self,OAKLX,Oakmark Select I,Purchase,12/03/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
122,,5,Self,SFGIX,Seafarer Overseas Gr and Income Investor,Purchase,09/17/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
123,,6,Self,SPY,SPDR S&P 500 ETF,Purchase,09/17/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
124,,7,Self,TSEMX,Touchstone Sands Cptl Emerg Mkts Gr Y,Purchase,09/17/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
125,,8,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt,Purchase,07/14/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
126,,9,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt,Purchase,08/11/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
127,,10,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt,Purchase,09/17/2015,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
128,,11,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt,Purchase,12/15/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
129,,12,Self,XLE,Energy Select Sector SPDR ETF,Purchase,09/17/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
130,,13,Self,BPLSX,Boston Partners Long/Short Equity Instl,Purchase,12/18/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
131,,14,Self,BSFIX,Baron Small Cap Instl,Purchase,12/07/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
132,,15,Self,CISGX,Touchstone Sands Capital Inst Gr,Purchase,12/15/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
133,,16,Self,DISRX,Dreyfus International Stock I,Purchase,12/31/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
134,,17,Self,EISMX,Eaton Vance Atlanta Capital SMID-Cap I,Purchase,12/14/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
135,,18,Self,GPGIX,Grandeur Peak Global Opportunities Instl,Purchase,12/31/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
136,,19,Self,HAINX,Harbor International Institutional,Purchase,12/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
137,,20,Self,HAINX,Harbor International Institutional,Purchase,12/21/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
138,,21,Self,IVWIX,IVA Worldwide I,Purchase,12/18/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
139,,22,Self,LLINX,Longleaf Partners International,Purchase,11/13/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
140,,23,Self,LLINX,Longleaf Partners International,Purchase,12/29/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
141,,24,Self,LLSCX,Longleaf Partners Small-Cap,Purchase,11/13/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
142,,25,Self,OAKIX,Oakmark International I,Purchase,12/18/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
143,,26,Self,OAKIX,Oakmark International I,Purchase,12/21/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
144,,27,Self,POPFX,Prospector Opportunity,Purchase,12/30/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
145,,28,Self,SSETX,Dreyfus/The Boston Co Small Cap Gr I,Purchase,12/14/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
146,,29,Self,--,OH CLEVELAND WTRWKS REV NC,Sale (Full),01/01/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
147,,30,Self,--,OH GREATER CLEVELAND REGL TRAN AUTH GO NC,Sale (Full),12/01/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
148,,31,Self,--,JP MORGAN NOTE (5-8%) NC,Sale (Full),07/30/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
149,,32,Self,--,PR ELEC PWR AU REV,Sale (Full),07/01/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
150,,33,Self,DCMSX,DFA Commodity Strategy Institutional,Sale (Full),09/17/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
151,,34,Self,FAIRX,Fairholme,Sale (Full),12/03/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
152,,35,Self,GOODX,GoodHaven,Sale (Full),03/20/2015,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
153,,36,Self,NPP,"Nuveen Performance Plus Municipal Fund, Inc.",Sale (Partial),03/16/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
154,,37,Self,NPP,"Nuveen Performance Plus Municipal Fund, Inc.",Sale (Partial),03/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
155,,38,Self,NPP,"Nuveen Performance Plus Municipal Fund, Inc.",Sale (Partial),03/18/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
156,,39,Self,NPP,"Nuveen Performance Plus Municipal Fund, Inc.",Sale (Partial),03/19/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
157,,40,Self,NPP,"Nuveen Performance Plus Municipal Fund, Inc.",Sale (Partial),03/20/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
158,,41,Self,NPP,"Nuveen Performance Plus Municipal Fund, Inc.",Sale (Full),03/23/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
159,,42,Self,NXZ,Nuveen Dividend Advantage Municipal Fund 2,Sale (Partial),03/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
160,,43,Self,NXZ,Nuveen Dividend Advantage Municipal Fund 2,Sale (Partial),03/19/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
161,,44,Self,NXZ,Nuveen Dividend Advantage Municipal Fund 2,Sale (Full),03/20/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
162,,45,Self,--,SDY - SPDR S&P Dividend ETF,Sale (Partial),10/27/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
163,,46,Self,VEUSX,Vanguard European Stock Index Adm,Sale (Full),03/20/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
164,,47,Self,VGELX,Vanguard Energy Adm,Sale (Full),09/17/2015,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
165,,48,Self,VMLUX,Vanguard Ltd-Term Tx-Ex Adm,Sale (Full),09/17/2015,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
166,,49,Self,VWIUX,Vanguard Interm-Term Tx-Ex Adm,Sale (Partial),10/27/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
167,,50,Self,VYM,Vanguard High Dividend Yield ETF,Sale (Partial),10/27/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
168,,51,Self,BAFQX,Brown Advisory Somerset Emgerg Mkts Inst,Purchase,09/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
169,,52,Self,IXC,iShares Global Energy,Purchase,09/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
170,,53,Self,JOAIX,JOHCM Asia Ex-Japan Equity I,Purchase,09/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
171,,54,Self,MAPIX,Matthews Asia Dividend Investor,Purchase,03/27/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
172,,55,Self,SFGIX,Seafarer Overseas Gr and Income Investor,Purchase,09/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
173,,56,Self,SPY,SPDR S&P 500 ETF,Purchase,01/26/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
174,,57,Self,SPY,SPDR S&P 500 ETF,Purchase,10/20/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
175,,58,Self,TSEMX,Touchstone Sands Cptl Emerg Mkts Gr Y,Purchase,09/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
176,,59,Self,XLE,Energy Select Sector SPDR ETF,Purchase,09/17/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
177,,60,Self,DCMSX,DFA Commodity Strategy Institutional,Sale (Full),09/17/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
178,,61,Self,DEM,WisdomTree Emerging Markets High Div ETF,Sale (Full),03/24/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
179,,62,Self,VFIDX,Vanguard Interm-Term Investment-Grde Adm,Sale (Partial),09/17/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
180,,63,Spouse,AMPCX,American Funds AMCAP C,Purchase,03/04/2015,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
181,,64,Spouse,AMPCX,American Funds AMCAP C,Purchase,06/22/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
182,,65,Spouse,AMPCX,American Funds AMCAP C,Purchase,12/21/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
183,,66,Spouse,CMUAX,Columbia Mid Cap Value A,Purchase,06/19/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
184,,67,Spouse,CMUAX,Columbia Mid Cap Value A,Purchase,12/11/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
185,,68,Spouse,BMCCX,BlackRock Flexible Equity Investor C,Sale (Full),03/03/2015,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
186,,69,Spouse,CMUAX,Columbia Mid Cap Value A,Sale (Partial),08/12/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
187,,70,Spouse,GVI,iShares Interm Government/Credit Bd,Purchase,02/03/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
188,,71,Self,BIAQX,Brown Advisory Somerset Emgerg Mkts Inv,Purchase,09/21/2015,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
189,,72,Self,CISGX,Touchstone Sands Capital Inst Gr,Purchase,12/03/2015,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
