,Unnamed: 0,#,Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments,Senator Name,Type,Comment
0,,1,Joint,HIEMX,Virtus Emerging Markets Opportunities I,Sale (Full),06/13/2016,"$15,001 - $50,000",,"Grassley, Charles E.",,
1,,2,Joint,PEGZX,Prudential Jennison Mid Cap Growth Z,Sale (Full),11/10/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
2,,3,Joint,ACINX,Columbia Acorn International Z,Sale (Full),02/22/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
3,,4,Joint,HIEMX,Virtus Emerging Markets Opportunities I,Sale (Partial),02/22/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
4,,5,Joint,PRINX,T. Rowe Price Summit Municipal Inc,Sale (Partial),01/11/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
5,,6,Joint,ALTVX,AB Municipal Income National Advisor,Sale (Partial),01/11/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
6,,7,Joint,AQMNX,AQR Managed Futures Strategy N,Sale (Partial),01/11/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
7,,8,Joint,MFRFX,MFS Research A,Purchase,12/21/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
8,,9,Joint,JLPSX,JPMorgan US Large Cap Core Plus I,Purchase,12/15/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
9,,10,Joint,BIAGX,Brown Advisory Growth Equity Inv,Purchase,12/21/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
10,,11,Joint,AEPFX,American Funds Europacific Growth F2,Purchase,02/22/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
11,,12,Joint,JLPSX,JPMorgan US Large Cap Core Plus I,Purchase,02/22/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
12,,13,Joint,MYSIX,Victory Trivalent International Sm-Cp Y,Purchase,02/24/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
13,,14,Joint,HFMIX,Hartford MidCap I,Purchase,10/10/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
14,,15,Joint,LZEMX,Lazard Emerging Markets Equity Instl,Purchase,06/15/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
15,,16,Self,IGFFX,American Funds Intl Gr and Inc F2,Purchase,04/11/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
16,,17,Self,GNEIX,Geneva Advisors Equity Income I,Purchase,04/06/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
17,,18,Self,ARIDX,AMG River Road Dividend All Cap Value I,Purchase,12/28/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
18,,19,Self,PPSPX,Principal Preferred Securities P,Purchase,04/11/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
19,,20,Self,JDEZX,Prudential Jennison Equity Income Z,Purchase,04/06/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
20,,21,Self,CAIFX,American Funds Capital Income Bldr F2,Purchase,04/06/2016,"$1,001 - $15,000",,"Grassley, Charles E.",,
