,Unnamed: 0,#,Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments,Senator Name,Type,Comment
0,,1,Spouse,--,"401-K Kraft Foods Stock This was not a purchase of new stock, but income reinvested in my spouse's 401-K plan.",Purchase,12/31/2013,"$1,001 - $15,000",,The Honorable Roy Blunt (Former Senator),,
1,,2,Spouse,--,"Mondelez Int Inc stock options included as part of a compensation package, not purchased on market.",Sale (Partial),04/12/2013,"$15,001 - $50,000",,The Honorable Roy Blunt (Former Senator),,
2,,3,Spouse,--,"Mondelez Int Inc stock options included as part of a compensation package, not purchased on market.",Sale (Partial),07/31/2013,"$50,001 - $100,000",,The Honorable Roy Blunt (Former Senator),,
3,,4,Spouse,--,"401-K Kraft Foods Stock This was not a purchase of new stock, but income reinvested in my spouse's 401-K plan.",Purchase,03/31/2013,"$1,001 - $15,000",,The Honorable Roy Blunt (Former Senator),,
4,,5,Spouse,--,"401-K Kraft Foods Stock This was not a purchase of new stock, but income reinvested in my spouse's 401-K plan.",Purchase,06/30/2013,"$1,001 - $15,000",,The Honorable Roy Blunt (Former Senator),,
5,,6,Spouse,--,"401-K Kraft Foods Stock This was not a purchase of new stock, but income reinvested in my spouse's 401-K plan.",Purchase,09/30/2013,"$1,001 - $15,000",,The Honorable Roy Blunt (Former Senator),,
6,,1,Joint,--,BIRMINGHAM ALABAMA SER A GO (BOND),Purchase,03/27/2013,"$15,001 - $50,000",,The Honorable Michael B Enzi (Former Senator),,
7,,1,Spouse,--,Castaic Lake WTR AGY,Sale (Full),01/15/2013,"$50,001 - $100,000",,The Honorable Dean Heller (Former Senator),,
8,,2,Spouse,--,Sierra Calif JT CMNTY,Purchase,03/20/2013,"$50,001 - $100,000",,The Honorable Dean Heller (Former Senator),,
9,,3,Spouse,--,Roseville Calif JT UN,Purchase,04/04/2013,"$50,001 - $100,000",,The Honorable Dean Heller (Former Senator),,
10,,4,Spouse,--,Lompoc Calif UNI SCH,Sale (Full),04/10/2013,"$15,001 - $50,000",,The Honorable Dean Heller (Former Senator),,
11,,5,Spouse,--,Oakland Calif,Sale (Full),04/10/2013,"$50,001 - $100,000",,The Honorable Dean Heller (Former Senator),,
12,,6,Spouse,--,Bay Area Toll Auth Calif,Purchase,09/30/2013,"$50,001 - $100,000",,The Honorable Dean Heller (Former Senator),,
13,,7,Spouse,--,Monterey Peninsula Calif,Purchase,05/07/2013,"$50,001 - $100,000",,The Honorable Dean Heller (Former Senator),,
14,,8,Spouse,--,Los Angeles CA Community,Purchase,10/25/2013,"$50,001 - $100,000",,The Honorable Dean Heller (Former Senator),,
15,,9,Joint,--,"Heller Hay Farm, 195 Hudson Aurora Road, Smith Nevada",Purchase,02/11/2013,"$500,001 - $1,000,000",Acquisition of Adjacent 147.19 Acres added to homestead.,The Honorable Dean Heller (Former Senator),,
16,,1,Joint,AMCPX,American Funds AMCAP A (NASDAQ),Purchase,12/31/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
17,,2,Joint,AMCPX,American Funds AMCAP A (NASDAQ),Purchase,12/20/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
18,,3,Joint,CAIBX,American Funds Capital Inc Bldr A (NASDAQ),Purchase,03/15/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
19,,4,Joint,CAIBX,American Funds Capital Inc Bldr A (NASDAQ),Purchase,06/14/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
20,,5,Joint,CAIBX,American Funds Capital Inc Bldr A (NASDAQ),Purchase,09/20/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
21,,6,Joint,CAIBX,American Funds Capital Inc Bldr A (NASDAQ),Purchase,12/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
22,,7,Joint,CWGIX,American Funds Capital World G/I A (NASDAQ),Purchase,06/14/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
23,,8,Joint,AIVSX,American Funds Invmt Co of Amer A (NASDAQ),Purchase,12/23/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
24,,9,Spouse,PRRXX,T. Rowe Price Prime Reserve Fd (NASDAQ),Sale (Full),02/19/2013,"$50,001 - $100,000",,"Hirono, Mazie Keiko",,
25,,10,Spouse,PRSVX,T. Rowe Price Small-Cap Value (NASDAQ),Sale (Full),02/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
26,,11,Spouse,RPMGX,T. Rowe Price Mid-Cap Growth (NASDAQ),Sale (Full),02/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
27,,12,Spouse,PRFDX,T. Rowe Price Equity Income (NASDAQ),Sale (Partial),02/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
28,,13,Spouse,TRBCX,T. Rowe Price Blue Chip Growth (NASDAQ),Sale (Partial),02/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
29,,14,Spouse,TRPBX,T. Rowe Price Personal Strat Balanced (NASDAQ),Sale (Full),02/19/2013,"$50,001 - $100,000",,"Hirono, Mazie Keiko",,
30,,15,Spouse,OPPAX,Oppenheimer Global A (NASDAQ),Purchase,02/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
31,,16,Spouse,GCMAX,Goldman Sachs Mid Cap Value A (NASDAQ),Sale (Full),02/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
32,,17,Spouse,PTRAX,PIMCO Total Return Admin (NASDAQ),Purchase,12/05/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
33,,18,Spouse,PTRAX,PIMCO Total Return Admin (NASDAQ),Purchase,02/19/2013,"$15,001 - $50,000",,"Hirono, Mazie Keiko",,
34,,19,Spouse,PARRX,PIMCO Real Return Admin (NASDAQ),Purchase,02/19/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
35,,20,Spouse,MNCIX,Manning & Napier Pro-Blend Cnsrv Term I (NASDAQ),Purchase,02/19/2013,"$100,001 - $250,000",,"Hirono, Mazie Keiko",,
36,,21,Spouse,MNCIX,Manning & Napier Pro-Blend Cnsrv Term I (NASDAQ),Purchase,06/18/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
37,,22,Spouse,MNCIX,Manning & Napier Pro-Blend Cnsrv Term I (NASDAQ),Purchase,09/05/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
38,,23,Spouse,MNCIX,Manning & Napier Pro-Blend Cnsrv Term I (NASDAQ),Purchase,12/05/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
39,,24,Spouse,MNCIX,Manning & Napier Pro-Blend Cnsrv Term I (NASDAQ),Purchase,12/17/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
40,,25,Spouse,EAIFX,Wells Fargo Advantage Asset Alloc Adm (NASDAQ),Sale (Full),02/26/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
41,,26,Spouse,EAAIX,Wells Fargo Advantage Asset Alloc Instl (NASDAQ),Purchase,02/26/2013,"$1,001 - $15,000",,"Hirono, Mazie Keiko",,
42,,1,Self,DCMSX,DFA Commodity Strategy I (NASDAQ),Purchase,10/10/2013,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
43,,2,Self,DISRX,Dreyfus International Stock I (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
44,,3,Self,HAINX,Harbor International Institutional (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
45,,4,Self,LLINX,Longleaf Partners International (NASDAQ),Purchase,02/20/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
46,,5,Self,NXZ,Nuveen Dividend Advantage Munic (AMEX),Purchase,10/02/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
47,,6,Self,NXZ,Nuveen Dividend Advantage Munic (AMEX),Purchase,10/03/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
48,,7,Self,NXZ,Nuveen Dividend Advantage Munic (AMEX),Purchase,10/04/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
49,,8,Self,NXZ,Nuveen Dividend Advantage Munic (AMEX),Purchase,10/07/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
50,,9,Self,NXZ,Nuveen Dividend Advantage Munic (AMEX),Purchase,10/08/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
51,,10,Self,NXZ,Nuveen Dividend Advantage Munic (AMEX),Purchase,10/09/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
52,,11,Self,NXZ,Nuveen Dividend Advantage Munic (AMEX),Purchase,10/10/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
53,,12,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/02/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
54,,13,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/07/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
55,,14,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/07/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
56,,15,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/08/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
57,,16,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/10/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
58,,17,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/16/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
59,,18,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/24/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
60,,19,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/25/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
61,,20,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,10/29/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
