,Unnamed: 0,#,Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments,Senator Name,Type,Comment
62,,21,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,11/04/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
63,,22,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,11/05/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
64,,23,Self,NPP,Nuveen Performance Plus Municip (NYSE),Purchase,11/06/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
65,,24,Self,OAKIX,Oakmark International I (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
66,,25,Self,GOODX,GoodHaven (NASDAQ),Purchase,02/20/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
67,,26,Self,CISGX,Touchstone Sands Capital Inst Gr (NASDAQ),Purchase,02/20/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
68,,27,Self,--,US Treasury Inflation Indexed Note NC 0.125%,Purchase,06/30/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
69,,28,Self,VWO,Vanguard Emerging Markets Stock Idx ETF,Purchase,05/17/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
70,,29,Self,VWIUX,Vanguard Interm-Term Tx-Ex Adm (NASDAQ),Purchase,02/25/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
71,,30,Self,VWIUX,Vanguard Interm-Term Tx-Ex Adm (NASDAQ),Purchase,12/11/2013,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
72,,31,Self,VWIUX,Vanguard Interm-Term Tx-Ex Adm (NASDAQ),Purchase,10/10/2013,"$250,001 - $500,000",,The Honorable Robert J Portman (Former Senator),,
73,,32,Self,VMLUX,Vanguard Ltd-Term Tx-Ex Adm (NASDAQ),Purchase,02/25/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
74,,33,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt (NASDAQ),Purchase,02/25/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
75,,34,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt (NASDAQ),Purchase,05/22/2013,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
76,,35,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt (NASDAQ),Purchase,05/23/2013,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
77,,36,Self,VWSUX,Vanguard Short-Term Tx-Ex Adm (NASDAQ),Purchase,10/11/2013,"$1,000,001 - $5,000,000",,The Honorable Robert J Portman (Former Senator),,
78,,37,Self,BSFIX,Baron Small Cap Instl (NASDAQ),Purchase,11/29/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
79,,38,Self,DISRX,Dreyfus International Stock I (NASDAQ),Purchase,12/31/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
80,,39,Self,SSETX,Dreyfus/The Boston Co Small Cap Gr I (NASDAQ),Purchase,12/06/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
81,,40,Self,FAIRX,Fairholme (NASDAQ),Purchase,12/30/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
82,,41,Self,HAINX,Harbor International Institutional (NASDAQ),Purchase,12/17/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
83,,42,Self,LLSCX,Longleaf Partners Small-Cap (NASDAQ),Purchase,11/08/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
84,,43,Self,OAKIX,Oakmark International I (NASDAQ),Purchase,12/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
85,,44,Self,OAKIX,Oakmark International I (NASDAQ),Purchase,12/23/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
86,,45,Self,POPFX,Prospector Opportunity (NASDAQ),Purchase,01/02/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
87,,46,Self,POPFX,Prospector Opportunity (NASDAQ),Purchase,12/31/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
88,,47,Self,BPLSX,Robeco Boston Partners L/S Equity Instl (NASDAQ),Purchase,12/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
89,,48,Self,CISGX,Touchstone Sands Capital Inst Gr (NASDAQ),Purchase,12/13/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
90,,49,Self,VGELX,Vanguard Energy Adm (NASDAQ),Purchase,12/18/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
91,,50,Self,XLU,Utilities Select Sector SPDR,Sale (Partial),05/17/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
92,,51,Self,BSFIX,Baron Small Cap Instl (NASDAQ),Sale (Partial),02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
93,,52,Self,EISMX,Eaton Vance Atlanta Capital SMID-Cap I (NASDAQ),Sale (Partial),02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
94,,53,Self,FAIRX,Fairholme (NASDAQ),Sale (Partial),02/20/2013,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
95,,54,Self,FAIRX,Fairholme (NASDAQ),Sale (Partial),05/17/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
96,,55,Self,IWR,iShares Russell Mid-Cap,Sale (Full),05/17/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
97,,56,Self,IXP,iShares Global Telecom,Sale (Partial),05/17/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
98,,57,Self,LLSCX,Longleaf Partners Small-Cap (NASDAQ),Sale (Partial),02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
99,,58,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/01/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
100,,59,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/02/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
101,,60,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/03/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
102,,61,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/04/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
103,,62,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/07/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
104,,63,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/08/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
105,,64,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/09/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
106,,65,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/10/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
107,,66,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/16/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
108,,67,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/24/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
109,,68,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/25/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
110,,69,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),10/29/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
111,,70,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),11/04/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
112,,71,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Partial),11/05/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
113,,72,Self,NIO,Nuveen Municipal Opportunity Fu (NYSE),Sale (Full),11/06/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
114,,73,Self,PCRIX,PIMCO Commodity Real Ret Strat Instl (NASDAQ),Sale (Full),10/10/2013,"$50,001 - $100,000",,The Honorable Robert J Portman (Former Senator),,
115,,74,Self,POPFX,Prospector Opportunity (NASDAQ),Sale (Partial),02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
116,,75,Self,POPFX,Prospector Opportunity (NASDAQ),Sale (Partial),05/17/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
117,,76,Self,SPY,SPDR S&P 500,Sale (Partial),02/20/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
118,,77,Self,SPY,SPDR S&P 500,Sale (Partial),05/17/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
119,,78,Self,SDY,SPDR S&P Dividend ETF,Sale (Partial),05/17/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
120,,79,Self,--,US Treasury Inflation Indexed Note NC 0.125%,Sale (Full),12/09/2013,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
121,,80,Self,VYM,Vanguard High Dividend Yield Indx ETF,Sale (Partial),05/17/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
122,,81,Self,VMLUX,Vanguard Ltd-Term Tx-Ex Adm (NASDAQ),Sale (Partial),05/17/2013,"$100,001 - $250,000",,The Honorable Robert J Portman (Former Senator),,
123,,82,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt (NASDAQ),Sale (Full),10/10/2013,"$250,001 - $500,000",,The Honorable Robert J Portman (Former Senator),,
124,,83,Self,DCMSX,DFA Commodity Strategy I (NASDAQ),Purchase,02/21/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
125,,84,Self,SPY,SPDR S&P 500,Purchase,10/09/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
126,,85,Self,^WTEMHY,Wisdom Tree Emerging Markets Eq,Purchase,02/20/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
127,,86,Self,JPMNX,JPMorgan Research Market Neutral Instl (NASDAQ),Sale (Partial),06/11/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
128,,87,Spouse,CMUAX,Columbia Mid Cap Value A (NASDAQ),Purchase,12/10/2013,"$15,001 - $50,000",,The Honorable Robert J Portman (Former Senator),,
129,,88,Spouse,GVI,iShares Intm Government/Credit Bond,Purchase,10/14/2013,"$1,001 - $15,000",,The Honorable Robert J Portman (Former Senator),,
130,,89,Self,OAKIX,Oakmark International I (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
131,,90,Self,BFRIX,BlackRock Floating Rate Income Instl (NASDAQ),Purchase,01/03/2013,"$15,001 - $50,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
132,,91,Self,DFSTX,DFA US Small Cap I (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
133,,92,Self,LLINX,Longleaf Partners International (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
134,,93,Self,DISRX,Dreyfus International Stock I (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
135,,94,Self,VWO,Vanguard Emerging Markets Stock Idx ETF,Purchase,05/17/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
136,,95,Self,MDY,SPDR S&P MidCap 400,Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
137,,96,Self,VOHIX,Vanguard OH Long-Term Tax-Exempt (NASDAQ),Purchase,05/20/2013,"$50,001 - $100,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
138,,97,Self,CISGX,Touchstone Sands Capital Inst Gr (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
139,,98,Self,HAINX,Harbor International Institutional (NASDAQ),Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
140,,99,Self,SPY,SPDR S&P 500,Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
141,,100,Self,XLE,Energy Select Sector SPDR,Purchase,02/20/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
142,,101,Self,BSFIX,Baron Small Cap Instl (NASDAQ),Purchase,11/29/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
143,,102,Self,DFSTX,DFA US Small Cap I (NASDAQ),Purchase,12/16/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
144,,103,Self,POPFX,Prospector Opportunity (NASDAQ),Purchase,12/30/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
145,,104,Self,LLSCX,Longleaf Partners Small-Cap (NASDAQ),Purchase,11/12/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
146,,105,Self,VWIUX,Vanguard Interm-Term Tx-Ex Adm (NASDAQ),Purchase,11/01/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
147,,106,Self,FAIRX,Fairholme (NASDAQ),Purchase,12/30/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
148,,107,Self,CISGX,Touchstone Sands Capital Inst Gr (NASDAQ),Purchase,12/16/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
149,,108,Self,VMLUX,Vanguard Ltd-Term Tx-Ex Adm (NASDAQ),Sale (Partial),06/27/2013,"$15,001 - $50,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
150,,109,Self,VMLUX,Vanguard Ltd-Term Tx-Ex Adm (NASDAQ),Sale (Partial),07/11/2013,"$15,001 - $50,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
151,,110,Self,VWEHX,Vanguard High-Yield Corporate Inv (NASDAQ),Sale (Partial),01/02/2013,"$15,001 - $50,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
152,,111,Self,LLINX,Longleaf Partners International (NASDAQ),Sale (Partial),11/07/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
153,,112,Self,VWSUX,Vanguard Short-Term Tx-Ex Adm (NASDAQ),Sale (Partial),02/20/2013,"$15,001 - $50,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
154,,113,Self,VMLUX,Vanguard Ltd-Term Tx-Ex Adm (NASDAQ),Sale (Partial),11/07/2013,"$15,001 - $50,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
155,,114,Self,OAKIX,Oakmark International I (NASDAQ),Sale (Partial),11/07/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
156,,115,Self,VWSUX,Vanguard Short-Term Tx-Ex Adm (NASDAQ),Sale (Full),05/20/2013,"$50,001 - $100,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
157,,116,Child,TSMAX,Touchstone Moderate Growth Allc A (NASDAQ),Purchase,12/30/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
158,,117,Child,TSMAX,Touchstone Moderate Growth Allc A (NASDAQ),Purchase,12/30/2013,"$1,001 - $15,000",Transaction occurred in the William C. Portman Irrevocable GST Exempt Trust,The Honorable Robert J Portman (Former Senator),,
