,Unnamed: 0,#,Transaction Date,Owner,Ticker,Asset Name,Type,Amount,Comment,Senator Name,Transaction Type,Comments
0,,1,06/21/2019,Spouse,NOC,Northrop Grumman Corporation,Sale (Full),"$100,001 - $250,000",R,The Honorable Pat Roberts (Former Senator),,
1,,2,06/21/2019,Spouse,WMT,Walmart Inc.,Sale (Full),"$50,001 - $100,000",555,The Honorable Pat Roberts (Former Senator),,
2,,3,06/21/2019,Spouse,TGT,Target Corporation,Sale (Full),"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
3,,4,06/21/2019,Spouse,NOC,Northrop Grumman Corporation,Sale (Full),"$15,001 - $50,000",sep,The Honorable Pat Roberts (Former Senator),,
4,,5,06/21/2019,Spouse,FB,"Facebook, Inc.",Sale (Full),"$50,001 - $100,000",555,The Honorable Pat Roberts (Former Senator),,
5,,6,08/14/2019,Spouse,NFLX,"Netflix, Inc.",Purchase,"$1,001 - $15,000",sep,The Honorable Pat Roberts (Former Senator),,
6,,7,08/14/2019,Spouse,AMZN,"Amazon.com, Inc.",Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
7,,8,10/01/2019,Spouse,AMZN,"Amazon.com, Inc.",Sale (Full),"$1,001 - $15,000",fran45,The Honorable Pat Roberts (Former Senator),,
8,,9,10/01/2019,Spouse,NVDA,NVIDIA Corporation,Purchase,"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
9,,10,10/01/2019,Spouse,NFLX,"Netflix, Inc.",Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
10,,11,10/01/2019,Spouse,CELG,Celgene Corporation,Sale (Full),"$1,001 - $15,000",sep,The Honorable Pat Roberts (Former Senator),,
11,,12,10/01/2019,Spouse,KTB,"Kontoor Brands, Inc.",Purchase,"$1,001 - $15,000",fran45,The Honorable Pat Roberts (Former Senator),,
12,,13,10/03/2019,Spouse,AAPL,Apple Inc.,Purchase,"$15,001 - $50,000",sep,The Honorable Pat Roberts (Former Senator),,
13,,14,10/15/2019,Spouse,AAPL,Apple Inc.,Sale (Full),"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
14,,15,10/17/2019,Spouse,KTB,"Kontoor Brands, Inc.",Sale (Full),"$1,001 - $15,000",fran45,The Honorable Pat Roberts (Former Senator),,
