,Unnamed: 0,#,Transaction Date,Owner,Ticker,Asset Name,Type,Amount,Comment,Senator Name,Transaction Type,Comments
15,,16,10/23/2019,Spouse,MSFT,Microsoft Corporation,Purchase,"$1,001 - $15,000",fran45,The Honorable Pat Roberts (Former Senator),,
16,,17,10/31/2019,Spouse,NFLX,"Netflix, Inc.",Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
17,,18,10/31/2019,Spouse,MA,Mastercard Incorporated,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
18,,19,11/04/2019,Spouse,DIS,The Walt Disney Company,Purchase,"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
19,,20,11/04/2019,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
20,,21,11/04/2019,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
21,,22,11/12/2019,Spouse,MA,Mastercard Incorporated,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
22,,1,10/03/2019,Joint,--,"Rental Condo, PC, Alexandria",,"$250,001 - $500,000",,The Honorable Pat Roberts (Former Senator),Purchase,
23,,2,09/03/2019,Joint,--,Dodge City Condo Rental,,"$100,001 - $250,000",,The Honorable Pat Roberts (Former Senator),Sale (Full),
24,,3,10/07/2019,Spouse,--,1/2 Lot in Columbia SC,,"$50,001 - $100,000",,The Honorable Pat Roberts (Former Senator),Sale (Full),
25,,1,01/03/2018,Joint,DVN,Devon Energy Corporation,Purchase,"$1,001 - $15,000",jt,The Honorable Pat Roberts (Former Senator),,
26,,2,01/04/2018,Spouse,JPM,JPMorgan Chase & Co.,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
27,,3,01/05/2018,Spouse,BAC,Bank of America Corporation,Purchase,"$1,001 - $15,000",Sep,The Honorable Pat Roberts (Former Senator),,
28,,4,01/17/2018,Spouse,CELG,Celgene Corporation,Purchase,"$1,001 - $15,000",seo,The Honorable Pat Roberts (Former Senator),,
29,,5,01/17/2018,Spouse,LMT,Lockheed Martin Corporation,Purchase,"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
30,,6,01/25/2018,Spouse,AMZN,"Amazon.com, Inc.",Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
31,,7,01/25/2018,Spouse,--,"Wal-Mart Stores, Inc.",Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
32,,8,02/05/2018,Spouse,BAC,Bank of America Corporation,Sale (Full),"$15,001 - $50,000",sep,The Honorable Pat Roberts (Former Senator),,
33,,9,02/05/2018,Spouse,AMZN,"Amazon.com, Inc.",Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
34,,10,02/05/2018,Spouse,AAPL,Apple Inc.,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
35,,11,02/05/2018,Spouse,ETY,Eaton Vance Tax-Managed Diversified Equity Income,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
36,,12,02/05/2018,Spouse,BA,The Boeing Company,Sale (Full),"$15,001 - $50,000",sep,The Honorable Pat Roberts (Former Senator),,
37,,13,02/05/2018,Spouse,NFLX,"Netflix, Inc.",Sale (Full),"$50,001 - $100,000",sep,The Honorable Pat Roberts (Former Senator),,
38,,14,02/05/2018,Spouse,RTN,Raytheon Company,Sale (Full),"$15,001 - $50,000",sep,The Honorable Pat Roberts (Former Senator),,
39,,15,02/05/2018,Spouse,BAC,Bank of America Corporation,Purchase,"$1,001 - $15,000",sep,The Honorable Pat Roberts (Former Senator),,
40,,16,02/05/2018,Spouse,BA,The Boeing Company,Purchase,"$50,001 - $100,000",sep,The Honorable Pat Roberts (Former Senator),,
41,,17,02/05/2018,Spouse,NFLX,"Netflix, Inc.",Purchase,"$50,001 - $100,000",sep,The Honorable Pat Roberts (Former Senator),,
42,,18,02/05/2018,Spouse,ETY,Eaton Vance Tax-Managed Diversified Equity Income,Purchase,"$1,001 - $15,000",sep,The Honorable Pat Roberts (Former Senator),,
43,,19,02/05/2018,Spouse,FB,"Facebook, Inc.",Purchase,"$15,001 - $50,000",555,The Honorable Pat Roberts (Former Senator),,
44,,20,02/05/2018,Spouse,AMZN,"Amazon.com, Inc.",Sale (Full),"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
45,,21,02/05/2018,Spouse,FB,"Facebook, Inc.",Sale (Full),"$15,001 - $50,000",555,The Honorable Pat Roberts (Former Senator),,
46,,22,02/05/2018,Spouse,AMZN,"Amazon.com, Inc.",Sale (Full),"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
47,,23,02/05/2018,Spouse,COST,Costco Wholesale Corporation,Sale (Full),"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
48,,24,02/05/2018,Spouse,NOC,Northrop Grumman Corporation,Sale (Full),"$50,001 - $100,000",R,The Honorable Pat Roberts (Former Senator),,
49,,25,02/05/2018,Spouse,NVDA,NVIDIA Corporation,Sale (Full),"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
50,,26,02/05/2018,Spouse,AAPL,Apple Inc.,Sale (Full),"$50,001 - $100,000",R,The Honorable Pat Roberts (Former Senator),,
51,,27,02/05/2018,Spouse,LMT,Lockheed Martin Corporation,Sale (Full),"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
52,,28,02/05/2018,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$50,001 - $100,000",R,The Honorable Pat Roberts (Former Senator),,
53,,29,02/05/2018,Spouse,NVDA,NVIDIA Corporation,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
54,,30,02/14/2018,Spouse,WMT,Walmart Inc.,Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
55,,31,02/20/2018,Spouse,WMT,Walmart Inc.,Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
56,,32,02/20/2018,Spouse,FB,"Facebook, Inc.",Purchase,"$15,001 - $50,000",555,The Honorable Pat Roberts (Former Senator),,
57,,33,04/11/2018,Spouse,NFLX,"Netflix, Inc.",Sale (Full),"$50,001 - $100,000",seo,The Honorable Pat Roberts (Former Senator),,
58,,34,04/11/2018,Spouse,CVX,Chevron Corporation,Sale (Full),"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
59,,35,04/23/2018,Spouse,NFLX,"Netflix, Inc.",Purchase,"$15,001 - $50,000",sep,The Honorable Pat Roberts (Former Senator),,
60,,36,04/25/2018,Spouse,NVDA,NVIDIA Corporation,Purchase,"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
61,,37,04/25/2018,Spouse,NFLX,"Netflix, Inc.",Purchase,"$15,001 - $50,000",sep,The Honorable Pat Roberts (Former Senator),,
62,,38,05/15/2018,Spouse,BAC,Bank of America Corporation,Purchase,"$1,001 - $15,000",sep,The Honorable Pat Roberts (Former Senator),,
63,,39,05/16/2018,Spouse,--,"Amazon.com, Inc.",Purchase,"$1,001 - $15,000",ugma--lily,The Honorable Pat Roberts (Former Senator),,
64,,40,06/22/2018,Joint,CVX,Chevron Corporation,Purchase,"$1,001 - $15,000",Jt,The Honorable Pat Roberts (Former Senator),,
65,,41,06/22/2018,Spouse,NFLX,"Netflix, Inc.",Sale (Full),"$50,001 - $100,000",Sep,The Honorable Pat Roberts (Former Senator),,
66,,42,06/22/2018,Spouse,AMZN,"Amazon.com, Inc.",Sale (Full),"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
67,,43,06/25/2018,Spouse,AMZN,"Amazon.com, Inc.",Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
68,,44,06/25/2018,Spouse,NFLX,"Netflix, Inc.",Purchase,"$50,001 - $100,000",Sep,The Honorable Pat Roberts (Former Senator),,
69,,45,07/05/2018,Spouse,TGT,Target Corporation,Purchase,"$1,001 - $15,000",sep,The Honorable Pat Roberts (Former Senator),,
70,,46,07/05/2018,Spouse,BAC,Bank of America Corporation,Purchase,"$1,001 - $15,000",Sep,The Honorable Pat Roberts (Former Senator),,
71,,47,07/05/2018,Spouse,FB,"Facebook, Inc.",Purchase,"$15,001 - $50,000",555,The Honorable Pat Roberts (Former Senator),,
72,,48,07/05/2018,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
73,,49,07/18/2018,Spouse,BAC,Bank of America Corporation,Sale (Partial),"$1,001 - $15,000",sep,The Honorable Pat Roberts (Former Senator),,
74,,50,07/18/2018,Spouse,TGT,Target Corporation,Sale (Full),"$1,001 - $15,000",Sep,The Honorable Pat Roberts (Former Senator),,
75,,51,07/24/2018,Spouse,BAC,Bank of America Corporation,Sale (Full),"$1,001 - $15,000",Sep,The Honorable Pat Roberts (Former Senator),,
76,,52,07/30/2018,Spouse,BA,The Boeing Company,Sale (Full),"$50,001 - $100,000",sep,The Honorable Pat Roberts (Former Senator),,
77,,53,07/30/2018,Spouse,JPM,JPMorgan Chase & Co.,Sale (Full),"$1,001 - $15,000",r,The Honorable Pat Roberts (Former Senator),,
78,,54,07/30/2018,Spouse,AMZN,"Amazon.com, Inc.",Sale (Full),"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
79,,55,07/30/2018,Spouse,AAPL,Apple Inc.,Sale (Full),"$50,001 - $100,000",R,The Honorable Pat Roberts (Former Senator),,
80,,56,07/30/2018,Spouse,NVDA,NVIDIA Corporation,Sale (Full),"$50,001 - $100,000",R,The Honorable Pat Roberts (Former Senator),,
81,,57,07/30/2018,Spouse,--,"Facebook, Inc.",Sale (Full),"$15,001 - $50,000",555,The Honorable Pat Roberts (Former Senator),,
82,,58,08/20/2018,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
83,,59,08/20/2018,Spouse,NFLX,"Netflix, Inc.",Purchase,"$15,001 - $50,000",Sep,The Honorable Pat Roberts (Former Senator),,
84,,60,08/20/2018,Joint,DVN,Devon Energy Corporation,Sale (Full),"$15,001 - $50,000",Jt,The Honorable Pat Roberts (Former Senator),,
85,,61,08/20/2018,Joint,XOM,Exxon Mobil Corporation,Purchase,"$1,001 - $15,000",Jt,The Honorable Pat Roberts (Former Senator),,
86,,62,08/21/2018,Spouse,FB,"Facebook, Inc.",Purchase,"$15,001 - $50,000",555,The Honorable Pat Roberts (Former Senator),,
87,,63,08/24/2018,Spouse,NFLX,"Netflix, Inc.",Purchase,"$15,001 - $50,000",Sep,The Honorable Pat Roberts (Former Senator),,
88,,64,08/24/2018,Spouse,AAPL,Apple Inc.,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
89,,65,08/28/2018,Spouse,KSS,Kohl's Corporation,Purchase,"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
90,,66,08/28/2018,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
91,,67,08/28/2018,Spouse,AAPL,Apple Inc.,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
92,,68,08/28/2018,Spouse,NVDA,NVIDIA Corporation,Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
93,,69,08/28/2018,Spouse,--,tgt,Purchase,"$1,001 - $15,000",R,The Honorable Pat Roberts (Former Senator),,
94,,70,08/28/2018,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$1,001 - $15,000",Sep,The Honorable Pat Roberts (Former Senator),,
95,,71,08/29/2018,Spouse,AMZN,"Amazon.com, Inc.",Purchase,"$15,001 - $50,000",R,The Honorable Pat Roberts (Former Senator),,
96,,72,09/04/2018,Spouse,NOC,Northrop Grumman Corporation,Purchase,"$1,001 - $15,000",Sep,The Honorable Pat Roberts (Former Senator),,
97,,73,10/12/2018,Spouse,FB,"Facebook, Inc.",Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
98,,74,10/12/2018,Spouse,WMT,Walmart Inc.,Purchase,"$1,001 - $15,000",555,The Honorable Pat Roberts (Former Senator),,
99,,1,08/31/2018,Spouse,--,Maury County TN GO BDS  Rate/Coupon: 5% Matures: 04/01/2023,Sale (Full),"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
100,,2,10/12/2018,Spouse,--,Montgomery County TN Go REF BDS  Rate/Coupon: 4.0% Matures: 04/01/2019,Purchase,"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
101,,3,10/12/2018,Spouse,--,Plano Texas Indpt Sch Dis Ultd Tax REF BDS  Rate/Coupon: 5.0% Matures: 02/15/2024,Purchase,"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
102,,4,10/23/2018,Spouse,--,University Texas Univ Revs REV FIN SYS REF BDS  Rate/Coupon: 5.0% Matures: 08/15/2032,Purchase,"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
103,,1,03/29/2018,Spouse,--,LSFYX - Loomis Sayles Senior Floating Rate and Fixed Income,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
104,,2,04/05/2018,Spouse,VTAPX,Vanguard Short-Term Inflation-Protected Securities,,"$50,001 - $100,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
105,,3,06/29/2018,Spouse,--,TORIX - Tortoise MLP & Pipeline Fund Institutional Class,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
106,,4,06/29/2018,Spouse,--,LSFYX - Loomis Sayles Senior Floating Rate and Fixed Income,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
107,,5,06/29/2018,Spouse,VTAPX,Vanguard Short-Term Inflation-Protected Securities,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
108,,6,07/06/2018,Spouse,--,DTC International Equity Common Trust Fund,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
109,,7,09/28/2018,Spouse,VTAPX,Vanguard Short-Term Inflation-Protected Securities,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
110,,8,10/04/2018,Spouse,--,DTC International Equity Common Trust Fund,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
111,,9,11/01/2018,Spouse,MLPI,UBS ETRACS Alerian MLP Infrastructure Index ETN,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
112,,10,11/01/2018,Spouse,VIG,Vanguard Dividend Appreciation Index Fund ETF Shar,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
113,,11,11/19/2018,Spouse,VEXMX,Vanguard Extended Market Index Fund Investor Share,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
114,,12,01/05/2018,Spouse,--,DTC Mulit-Strategy Common Trust Fund,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
115,,13,03/28/2018,Spouse,VEXMX,Vanguard Extended Market Index Fund Investor Share,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
116,,14,03/28/2018,Spouse,VFINX,Vanguard 500 Index Fund Investor Shares,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
117,,15,03/28/2018,Spouse,--,VIG - Vanguard Dividend Appreciation Index Fund ETF Share,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
118,,16,03/29/2018,Spouse,--,DTC International Equity Common Trust Fund,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
119,,17,03/29/2018,Spouse,--,DTC Multi-Strategy Common Trust Fund,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
120,,18,09/27/2018,Spouse,--,VIG - Vanguard Dividend Appreciation Index Fund ETF Share,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
121,,19,11/16/2018,Spouse,--,TORIX - Tortoise MLP & Pipeline Fund Institutional Class,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
122,,20,11/16/2018,Spouse,--,LSFYX - Loomis Sayles Senior Floating Rate and Fixed Income,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
123,,21,11/16/2018,Spouse,VTAPX,Vanguard Short-Term Inflation-Protected Securities,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
124,,22,11/16/2018,Spouse,VFINX,Vanguard 500 Index Fund Investor Shares,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
125,,23,12/28/2018,Spouse,MLPI,UBS ETRACS Alerian MLP Infrastructure Index ETN,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
126,,24,12/28/2018,Spouse,--,TORIX - Tortoise MLP & Pipeline Fund Institutional Class,,"$50,001 - $100,000",,The Honorable Lamar Alexander (Former Senator),Sale (Full),
127,,25,12/28/2018,Spouse,VTAPX,Vanguard Short-Term Inflation-Protected Securities,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
128,,26,12/31/2018,Spouse,--,DTC Multi-Strategy Common Trust Fund,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
129,,27,03/06/2018,Spouse,--,"1.789 Acres, Victoria, TX",,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Sale (Partial),
130,,1,06/15/2017,Spouse,--,Shelby County Tenn Health EDL & Rev  Rate/Coupon: 5.25% Matures: 09/01/2023,Sale (Full),"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
131,,2,06/15/2017,Spouse,--,Chattanooga Tenn Go REF BDS  Rate/Coupon: 5.00% Matures: 09/01/2019,Sale (Full),"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
132,,3,06/15/2017,Spouse,--,Clarksville TN Electric  Rate/Coupon: 5.00% Matures: 09/01/2022,Sale (Full),"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
133,,4,06/15/2017,Spouse,--,Kingsport Tenn Go Bond  Rate/Coupon: 3.00% Matures: 03/01/2029,Sale (Full),"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
134,,5,06/15/2017,Spouse,--,Lakeland Tenn Go Cap Outlay NTS  Rate/Coupon: 5.00% Matures: 03/01/2020,Sale (Full),"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
135,,6,06/15/2017,Spouse,--,Memphis TN Sewer System  Rate/Coupon: 4.20% Matures: 10/01/2022,Sale (Full),"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
136,,7,06/15/2017,Spouse,--,Metropolitan Govt Nashville & REF BDS  Rate/Coupon: 5.00% Matures: 05/15/2019,Sale (Full),"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
137,,8,06/15/2017,Spouse,--,Metropolitan Nashville ARPT AU ARPT  Rate/Coupon: 5.00% Matures: 07/01/2040,Sale (Full),"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
138,,9,06/15/2017,Spouse,--,Robertson CNTY Tenn Go REF BDS  Rate/Coupon: 3.00% Matures: 04/01/2025,Sale (Full),"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
139,,10,06/15/2017,Spouse,--,Robertson County TN Go Bond  Rate/Coupon: 5.00% Matures: 05/01/2022,Sale (Full),"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
140,,11,07/11/2017,Spouse,--,Marion County Tenn GO SCH REF BDS  Rate/Coupon: 4.00% Matures: 04/01/2021,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
141,,12,09/06/2017,Spouse,--,Sevier County Tenn Pub Bldg  Rate/Coupon: 5.00% Matures: 06/01/2018,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
142,,13,09/07/2017,Spouse,--,Wilson County Tenn GO  Rate/Coupon: 5.00% Matures: 04/01/2019,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
143,,14,09/13/2017,Spouse,--,Metropolitan Govt Nashville Water and Sewer  Rate/Coupon: 5.00% Matures: 07/01/2023,Purchase,"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
144,,15,09/28/2017,Spouse,--,Knox County Tenn GO REF BDS  Rate/Coupon: 5.00% Matures: 05/01/2020,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
145,,16,09/28/2017,Spouse,--,Montgomery County Tenn GO Sch Rate/Coupon: 5.00% Matures: 04/01/2025,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
146,,17,10/04/2017,Spouse,--,Hamilton County Tenn GO BDS  Rate/Coupon: 4.00% Matures: 03/01/2018,Purchase,"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
147,,18,10/04/2017,Spouse,--,Clarksville Tenn Nat Gas Acq  Rate/Coupon: 5.00% Matures: 12/15/2020,Purchase,"$15,001 - $50,000",--,The Honorable Lamar Alexander (Former Senator),,
148,,19,10/16/2017,Spouse,--,Chattanooga Tenn Elec Rev Ref BDS  Rate/Coupon: 5.00% Matures: 09/01/2023,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
149,,20,10/19/2017,Spouse,--,Maury County Tenn Go Sch BDS  Rate/Coupon: 5.00% Matures: 04/01/2023,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
150,,21,10/23/2017,Spouse,--,Metropolitan Gov't Nashville & Go REF BDS  Rate/Coupon: 5.00% Matures: 01/01/2024,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
151,,22,10/30/2017,Spouse,--,Tennessee HSG Dev Agy Resident Residential FIN Prog BDS  Rate/Coupon: 2.70% Matures: 01/01/2024,Purchase,"$50,001 - $100,000",--,The Honorable Lamar Alexander (Former Senator),,
152,,1,01/06/2017,Spouse,--,DTC Multi-Strategy Common Trust Fund,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
153,,2,01/31/2017,Spouse,VEXMX,Vanguard Extended Market Index Investor,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
154,,3,02/06/2017,Spouse,VFINX,Vanguard 500 Index Investor,,"$100,001 - $250,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
155,,4,03/06/2017,Spouse,--,DTC Multi-Strategy Common Trust Fund,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
156,,5,06/06/2017,Spouse,--,DTC Multi-Strategy Common Trust Fund,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
157,,6,07/07/2017,Spouse,--,DTC US Active Equity Common Trust Fund,,"$100,001 - $250,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
158,,7,07/17/2017,Spouse,TORIX,Tortoise MLP & Pipeline Instl,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
159,,8,07/19/2017,Spouse,MLPI,UBS ETRACS Alerian MLP Infras ETN,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
160,,9,07/19/2017,Spouse,VIG,Vanguard Dividend Appreciation ETF,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
161,,10,09/29/2017,Spouse,TORIX,Tortoise MLP & Pipeline Instl,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
162,,11,09/29/2017,Spouse,LSFYX,Loomis Sayles Sr Floating Rate and F/I Y,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
163,,12,09/29/2017,Spouse,VEXMX,Vanguard Extended Market Index Investor,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
164,,13,09/29/2017,Spouse,VFINX,Vanguard 500 Index Investor,,"$50,001 - $100,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
165,,14,10/02/2017,Spouse,MLPI,UBS ETRACS Alerian MLP Infras ETN,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
166,,15,10/02/2017,Spouse,VIG,Vanguard Dividend Appreciation ETF,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
167,,16,10/05/2017,Spouse,--,DTC Multi-Strategy Common Trust Fund,,"$15,001 - $50,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
168,,17,10/05/2017,Spouse,--,DTC International Equity Common Trust Fund,,"$100,001 - $250,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
169,,18,10/31/2017,Spouse,TORIX,Tortoise MLP & Pipeline Instl,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
170,,19,10/31/2017,Spouse,LSFYX,Loomis Sayles Sr Floating Rate and F/I Y,,"$1,001 - $15,000",,The Honorable Lamar Alexander (Former Senator),Purchase,
